,Close
0,9927.0
1,9947.0
2,9961.0
3,9954.0
4,10016.0
5,10073.0
6,10104.0
7,10151.0
8,10156.0
9,10100.0
10,10098.0
11,10104.0
12,10071.0
13,10023.0
14,10115.0
15,10180.0
16,10181.0
17,10236.0
18,10196.0
19,10201.0
20,10156.0
21,10134.0
22,10121.0
23,10061.0
24,10100.0
25,10002.0
26,9959.0
27,9963.0
28,9830.0
29,9892.0
30,9897.0
31,9925.0
32,9938.0
33,9971.0
34,9948.0
35,9940.0
36,9963.0
37,10071.0
38,10074.0
39,10031.0
40,9920.0
41,9948.0
42,10089.0
43,10059.0
44,10021.0
45,9959.0
46,9997.0
47,10087.0
48,10195.0
49,10324.0
50,10347.0
51,10458.0
52,10479.0
53,10414.0
54,10456.0
55,10506.0
56,10484.0
57,10528.0
58,10701.0
59,10802.0
60,10929.0
61,11050.0
62,10934.0
63,11002.0
64,10993.0
65,10915.0
66,10890.0
67,10915.0
68,10939.0
69,10987.0
70,11015.0
71,11020.0
72,10906.0
73,10933.0
74,10783.0
75,10803.0
76,10801.0
77,10762.0
78,10866.0
79,10902.0
80,10981.0
81,11013.0
82,11105.0
83,11130.0
84,11159.0
85,11052.0
86,11060.0
87,10880.0
88,10833.0
89,10563.0
90,10605.0
91,10620.0
92,10341.0
93,10126.0
94,10165.0
95,10062.0
96,10023.0
97,10251.0
98,10142.0
99,10116.0
100,10164.0
101,10141.0
102,9940.0
103,9913.0
104,10132.0
105,10258.0
106,10254.0
107,10316.0
108,10350.0
109,10377.0
110,10325.0
111,10276.0
112,10149.0
113,10057.0
114,10123.0
115,10197.0
116,10237.0
117,10171.0
118,10153.0
119,10146.0
120,10245.0
121,10311.0
122,10372.0
123,10378.0
124,10411.0
125,10349.0
126,10376.0
127,10421.0
128,10462.0
129,10373.0
130,10387.0
131,10355.0
132,10270.0
133,10154.0
134,10178.0
135,10242.0
136,10208.0
137,10089.0
138,9945.0
139,9703.0
140,9739.0
141,9800.0
142,9932.0
143,10036.0
144,10014.0
145,9999.0
146,9948.0
147,10087.0
148,10234.0
149,10431.0
150,10314.0
151,10247.0
152,10290.0
153,10376.0
154,10390.0
155,10361.0
156,10442.0
157,10418.0
158,10449.0
159,10533.0
160,10486.0
161,10538.0
162,10546.0
163,10554.0
164,10569.0
165,10575.0
166,10580.0
167,10586.0
168,10584.0
169,10630.0
170,10610.0
171,10546.0
172,10458.0
173,10501.0
174,10472.0
175,10493.0
176,10534.0
177,10579.0
178,10604.0
179,10636.0
180,10559.0
181,10552.0
182,10521.0
183,10505.0
184,10605.0
185,10620.0
186,10644.0
187,10649.0
188,10654.0
189,10540.0
190,10587.0
191,10642.0
192,10738.0
193,10677.0
194,10669.0
195,10697.0
196,10685.0
197,10780.0
198,10758.0
199,10743.0
200,10760.0
201,10845.0
202,11078.0
203,11030.0
204,11179.0
205,11152.0
206,11155.0
207,11177.0
208,11172.0
209,11253.0
210,11170.0
211,11250.0
212,11374.0
213,11298.0
214,11179.0
215,11167.0
216,11239.0
217,11235.0
218,11265.0
219,11321.0
220,11302.0
221,11271.0
222,11284.0
223,11257.0
224,11250.0
225,11208.0
226,11163.0
227,11184.0
228,11248.0
229,11367.0
230,11429.0
231,11514.0
232,11557.0
233,11543.0
234,11560.0
235,11466.0
236,11317.0
237,11251.0
238,11382.0
239,11340.0
240,11419.0
241,11456.0
242,11460.0
243,11558.0
244,11514.0
245,11474.0
246,11492.0
247,11514.0
248,11543.0
249,11543.0
250,11558.0
251,11575.0
252,11680.0
253,11764.0
254,11824.0
255,11812.0
256,11824.0
257,11933.0
258,11887.0
259,11910.0
260,11976.0
261,11868.0
262,11859.0
263,11856.0
264,11737.0
265,11799.0
266,11843.0
267,11961.0
268,11993.0
269,11947.0
270,11891.0
271,11823.0
272,11867.0
273,11941.0
274,12009.0
275,12028.0
276,12026.0
277,12082.0
278,12148.0
279,12149.0
280,12157.0
281,12152.0
282,12128.0
283,12147.0
284,12201.0
285,12194.969727
286,12287.0
287,12322.0
288,12412.0
289,12509.0
290,12476.0
291,12499.0
292,12415.0
293,12348.0
294,12264.0
295,12297.0
296,12419.0
297,12405.0
298,12469.0
299,12507.0
300,12478.0
301,12541.0
302,12543.0
303,12493.0
304,12486.0
305,12551.0
306,12604.0
307,12590.0
308,12677.0
309,12630.0
310,12683.0
311,12627.0
312,12570.0
313,12636.0
314,12630.0
315,12602.0
316,12574.0
317,12588.0
318,12553.0
319,12207.0
320,12302.0
321,12053.0
322,12232.0
323,12180.0
324,12124.0
325,12218.0
326,12334.0
327,12466.0
328,12426.0
329,12457.0
330,12452.0
331,12415.0
332,12521.0
333,12475.0
334,12527.0
335,12542.0
336,12504.0
337,12358.0
338,12369.0
339,12420.0
340,12559.0
341,12650.0
342,12697.0
343,12649.0
344,12643.0
345,12695.0
346,12767.0
347,12790.0
348,12473.0
349,12583.0
350,12693.0
351,12716.0
352,12717.0
353,12683.0
354,12759.0
355,12748.0
356,12717.0
357,12685.0
358,12769.0
359,12741.0
360,12774.0
361,12678.0
362,12635.0
363,12766.0
364,12857.0
365,12911.0
366,12842.0
367,12882.0
368,12919.0
369,12914.0
370,12924.0
371,12970.0
372,13030.0
373,13021.0
374,13012.0
375,12858.0
376,12840.0
377,12599.0
378,12698.0
379,12848.0
380,12853.0
381,12789.0
382,12772.0
383,12763.0
384,12777.0
385,12647.0
386,12648.0
387,12591.0
388,12270.0
389,12263.0
390,12538.0
391,12526.0
392,12451.0
393,12438.0
394,12421.0
395,12386.0
396,12401.0
397,12373.0
398,12327.0
399,12420.0
400,12484.0
401,12583.0
402,12640.0
403,12664.0
404,12705.0
405,12734.0
406,12691.0
407,12652.0
408,12631.0
409,12685.0
410,12729.0
411,12713.0
412,12531.0
413,12530.0
414,12492.0
415,12454.0
416,12456.0
417,12520.0
418,12625.0
419,12603.0
420,12586.0
421,12592.0
422,12530.0
423,12565.0
424,12667.0
425,12756.0
426,12705.0
427,12690.0
428,12639.0
429,12700.0
430,12685.0
431,12721.0
432,12701.0
433,12714.0
434,12792.0
435,12835.0
436,12857.0
437,12850.0
438,13017.0
439,13056.0
440,13037.0
441,13021.0
442,12973.0
443,13026.0
444,13002.0
445,12947.0
446,12969.0
447,12855.0
